=== Agent Install Log ===
=== Agent Compile Log ===
=== Agent Error Log ===
[2021-09-23 20:07:50,984] CRITICAL: Unknown resource Cell (3, 0) |<lux.game_map.Resource object at 0x0000015BBE18E790> |Road: 0 |
[2021-09-23 20:07:51,991] CRITICAL: Unknown resource Cell (3, 14) |<lux.game_map.Resource object at 0x0000015BBE3DBFD0> |Road: 0 |
[2021-09-23 20:07:51,991] CRITICAL: Unknown resource Cell (3, 15) |<lux.game_map.Resource object at 0x0000015BBE17FD60> |Road: 0 |
[2021-09-23 20:07:51,991] CRITICAL: Unknown resource Cell (4, 0) |<lux.game_map.Resource object at 0x0000015BBE17FAF0> |Road: 0 |
[2021-09-23 20:07:51,991] CRITICAL: Unknown resource Cell (4, 2) |<lux.game_map.Resource object at 0x0000015BBE17F9A0> |Road: 0 |
[2021-09-23 20:07:51,991] CRITICAL: Unknown resource Cell (4, 13) |<lux.game_map.Resource object at 0x0000015BBE17FA90> |Road: 0 |
[2021-09-23 20:07:51,991] CRITICAL: Unknown resource Cell (4, 15) |<lux.game_map.Resource object at 0x0000015BBE17FA00> |Road: 0 |
[2021-09-23 20:07:51,991] CRITICAL: Unknown resource Cell (9, 2) |<lux.game_map.Resource object at 0x0000015BBE17FA30> |Road: 0 |
[2021-09-23 20:07:51,991] CRITICAL: Unknown resource Cell (9, 13) |<lux.game_map.Resource object at 0x0000015BBE17F8E0> |Road: 0 |
[2021-09-23 20:07:51,991] CRITICAL: Unknown resource Cell (10, 0) |<lux.game_map.Resource object at 0x0000015BBE17F940> |Road: 0 |
[2021-09-23 20:07:51,991] CRITICAL: Unknown resource Cell (10, 1) |<lux.game_map.Resource object at 0x0000015BBE17FDC0> |Road: 0 |
[2021-09-23 20:07:51,991] CRITICAL: Unknown resource Cell (10, 14) |<lux.game_map.Resource object at 0x0000015BBE3D80D0> |Road: 0 |
[2021-09-23 20:07:51,991] CRITICAL: Unknown resource Cell (10, 15) |<lux.game_map.Resource object at 0x0000015BBE3D80A0> |Road: 0 |
[2021-09-23 20:07:52,080] CRITICAL: Unknown resource Cell (3, 0) |<lux.game_map.Resource object at 0x0000015BBE3D1AF0> |Road: 0 |
[2021-09-23 20:07:52,080] CRITICAL: Unknown resource Cell (3, 1) |<lux.game_map.Resource object at 0x0000015BBE3D1C40> |Road: 0 |
[2021-09-23 20:07:52,080] CRITICAL: Unknown resource Cell (3, 14) |<lux.game_map.Resource object at 0x0000015BBE3D1BE0> |Road: 0 |
[2021-09-23 20:07:52,080] CRITICAL: Unknown resource Cell (3, 15) |<lux.game_map.Resource object at 0x0000015BBE3D1DC0> |Road: 0 |
[2021-09-23 20:07:52,080] CRITICAL: Unknown resource Cell (4, 0) |<lux.game_map.Resource object at 0x0000015BBE3D1CA0> |Road: 0 |
[2021-09-23 20:07:52,080] CRITICAL: Unknown resource Cell (4, 2) |<lux.game_map.Resource object at 0x0000015BBE3D1E80> |Road: 0 |
[2021-09-23 20:07:52,081] CRITICAL: Unknown resource Cell (4, 13) |<lux.game_map.Resource object at 0x0000015BBE3D1E20> |Road: 0 |
[2021-09-23 20:07:52,081] CRITICAL: Unknown resource Cell (4, 15) |<lux.game_map.Resource object at 0x0000015BBE3D1FA0> |Road: 0 |
[2021-09-23 20:07:52,081] CRITICAL: Unknown resource Cell (9, 2) |<lux.game_map.Resource object at 0x0000015BBE3D1EE0> |Road: 0 |
[2021-09-23 20:07:52,081] CRITICAL: Unknown resource Cell (9, 13) |<lux.game_map.Resource object at 0x0000015BBE188A90> |Road: 0 |
[2021-09-23 20:07:52,081] CRITICAL: Unknown resource Cell (10, 0) |<lux.game_map.Resource object at 0x0000015BBE188610> |Road: 0 |
[2021-09-23 20:07:52,081] CRITICAL: Unknown resource Cell (10, 1) |<lux.game_map.Resource object at 0x0000015BBE1889A0> |Road: 0 |
[2021-09-23 20:07:52,081] CRITICAL: Unknown resource Cell (10, 14) |<lux.game_map.Resource object at 0x0000015BBE1887C0> |Road: 0 |
[2021-09-23 20:07:52,081] CRITICAL: Unknown resource Cell (10, 15) |<lux.game_map.Resource object at 0x0000015BBE188670> |Road: 0 |
[2021-09-23 20:07:52,208] CRITICAL: Unknown resource Cell (3, 0) |<lux.game_map.Resource object at 0x0000015BBE3D87F0> |Road: 0 |
[2021-09-23 20:07:52,208] CRITICAL: Unknown resource Cell (3, 1) |<lux.game_map.Resource object at 0x0000015BBE3D88B0> |Road: 0 |
[2021-09-23 20:07:52,208] CRITICAL: Unknown resource Cell (3, 14) |<lux.game_map.Resource object at 0x0000015BBE3D8A30> |Road: 0 |
[2021-09-23 20:07:52,208] CRITICAL: Unknown resource Cell (3, 15) |<lux.game_map.Resource object at 0x0000015BBE3D89D0> |Road: 0 |
[2021-09-23 20:07:52,208] CRITICAL: Unknown resource Cell (4, 0) |<lux.game_map.Resource object at 0x0000015BBE3D8AF0> |Road: 0 |
[2021-09-23 20:07:52,208] CRITICAL: Unknown resource Cell (4, 2) |<lux.game_map.Resource object at 0x0000015BBE3D8A90> |Road: 0 |
[2021-09-23 20:07:52,208] CRITICAL: Unknown resource Cell (4, 13) |<lux.game_map.Resource object at 0x0000015BBE3D8C70> |Road: 0 |
[2021-09-23 20:07:52,208] CRITICAL: Unknown resource Cell (4, 15) |<lux.game_map.Resource object at 0x0000015BBE3D8C10> |Road: 0 |
[2021-09-23 20:07:52,208] CRITICAL: Unknown resource Cell (9, 2) |<lux.game_map.Resource object at 0x0000015BBE3D8D30> |Road: 0 |
[2021-09-23 20:07:52,208] CRITICAL: Unknown resource Cell (9, 13) |<lux.game_map.Resource object at 0x0000015BBE3D8E50> |Road: 0 |
[2021-09-23 20:07:52,208] CRITICAL: Unknown resource Cell (10, 0) |<lux.game_map.Resource object at 0x0000015BBE3D8F70> |Road: 0 |
[2021-09-23 20:07:52,208] CRITICAL: Unknown resource Cell (10, 1) |<lux.game_map.Resource object at 0x0000015BBE3D8F10> |Road: 0 |
[2021-09-23 20:07:52,208] CRITICAL: Unknown resource Cell (10, 14) |<lux.game_map.Resource object at 0x0000015BBE197CA0> |Road: 0 |
[2021-09-23 20:07:52,208] CRITICAL: Unknown resource Cell (10, 15) |<lux.game_map.Resource object at 0x0000015BBE197E50> |Road: 0 |
[2021-09-23 20:07:52,268] CRITICAL: Unknown resource Cell (3, 0) |<lux.game_map.Resource object at 0x0000015BBE1881C0> |Road: 0 |
[2021-09-23 20:07:52,268] CRITICAL: Unknown resource Cell (3, 1) |<lux.game_map.Resource object at 0x0000015BBE188CA0> |Road: 0 |
[2021-09-23 20:07:52,268] CRITICAL: Unknown resource Cell (3, 14) |<lux.game_map.Resource object at 0x0000015BBE1886A0> |Road: 0 |
[2021-09-23 20:07:52,268] CRITICAL: Unknown resource Cell (3, 15) |<lux.game_map.Resource object at 0x0000015BBE188340> |Road: 0 |
[2021-09-23 20:07:52,268] CRITICAL: Unknown resource Cell (4, 0) |<lux.game_map.Resource object at 0x0000015BBE1880A0> |Road: 0 |
[2021-09-23 20:07:52,268] CRITICAL: Unknown resource Cell (4, 2) |<lux.game_map.Resource object at 0x0000015BBE188FD0> |Road: 0 |
[2021-09-23 20:07:52,268] CRITICAL: Unknown resource Cell (4, 13) |<lux.game_map.Resource object at 0x0000015BBE188580> |Road: 0 |
[2021-09-23 20:07:52,268] CRITICAL: Unknown resource Cell (4, 15) |<lux.game_map.Resource object at 0x0000015BBE1885E0> |Road: 0 |
[2021-09-23 20:07:52,268] CRITICAL: Unknown resource Cell (9, 2) |<lux.game_map.Resource object at 0x0000015BBE3CE100> |Road: 0 |
[2021-09-23 20:07:52,268] CRITICAL: Unknown resource Cell (9, 13) |<lux.game_map.Resource object at 0x0000015BBE3CE2E0> |Road: 0 |
[2021-09-23 20:07:52,268] CRITICAL: Unknown resource Cell (10, 0) |<lux.game_map.Resource object at 0x0000015BBE3CE250> |Road: 0 |
[2021-09-23 20:07:52,268] CRITICAL: Unknown resource Cell (10, 1) |<lux.game_map.Resource object at 0x0000015BBE3CE3A0> |Road: 0 |
[2021-09-23 20:07:52,268] CRITICAL: Unknown resource Cell (10, 14) |<lux.game_map.Resource object at 0x0000015BBE3CE490> |Road: 0 |
[2021-09-23 20:07:52,268] CRITICAL: Unknown resource Cell (10, 15) |<lux.game_map.Resource object at 0x0000015BBE3CE5E0> |Road: 0 |
[2021-09-23 20:07:52,353] CRITICAL: Unknown resource Cell (3, 0) |<lux.game_map.Resource object at 0x0000015BBE197190> |Road: 0 |
[2021-09-23 20:07:52,353] CRITICAL: Unknown resource Cell (3, 1) |<lux.game_map.Resource object at 0x0000015BBE197220> |Road: 0 |
[2021-09-23 20:07:52,353] CRITICAL: Unknown resource Cell (3, 14) |<lux.game_map.Resource object at 0x0000015BBE197340> |Road: 0 |
[2021-09-23 20:07:52,353] CRITICAL: Unknown resource Cell (3, 15) |<lux.game_map.Resource object at 0x0000015BBE197550> |Road: 0 |
[2021-09-23 20:07:52,353] CRITICAL: Unknown resource Cell (4, 0) |<lux.game_map.Resource object at 0x0000015BBE197520> |Road: 0 |
[2021-09-23 20:07:52,353] CRITICAL: Unknown resource Cell (4, 2) |<lux.game_map.Resource object at 0x0000015BBE197F10> |Road: 0 |
[2021-09-23 20:07:52,353] CRITICAL: Unknown resource Cell (4, 13) |<lux.game_map.Resource object at 0x0000015BBE197A90> |Road: 0 |
[2021-09-23 20:07:52,353] CRITICAL: Unknown resource Cell (4, 15) |<lux.game_map.Resource object at 0x0000015BBE197C70> |Road: 0 |
[2021-09-23 20:07:52,353] CRITICAL: Unknown resource Cell (9, 2) |<lux.game_map.Resource object at 0x0000015BBE197A30> |Road: 0 |
[2021-09-23 20:07:52,354] CRITICAL: Unknown resource Cell (9, 13) |<lux.game_map.Resource object at 0x0000015BBE197BE0> |Road: 0 |
[2021-09-23 20:07:52,354] CRITICAL: Unknown resource Cell (10, 0) |<lux.game_map.Resource object at 0x0000015BBE197AC0> |Road: 0 |
[2021-09-23 20:07:52,354] CRITICAL: Unknown resource Cell (10, 1) |<lux.game_map.Resource object at 0x0000015BBE197D30> |Road: 0 |
[2021-09-23 20:07:52,354] CRITICAL: Unknown resource Cell (10, 14) |<lux.game_map.Resource object at 0x0000015BBE195550> |Road: 0 |
[2021-09-23 20:07:52,354] CRITICAL: Unknown resource Cell (10, 15) |<lux.game_map.Resource object at 0x0000015BBE1958E0> |Road: 0 |
[2021-09-23 20:07:52,385] CRITICAL: Unknown resource Cell (3, 0) |<lux.game_map.Resource object at 0x0000015BBE3CEC10> |Road: 0 |
[2021-09-23 20:07:52,385] CRITICAL: Unknown resource Cell (3, 1) |<lux.game_map.Resource object at 0x0000015BBE3CED60> |Road: 0 |
[2021-09-23 20:07:52,385] CRITICAL: Unknown resource Cell (3, 14) |<lux.game_map.Resource object at 0x0000015BBE3CEDF0> |Road: 0 |
[2021-09-23 20:07:52,385] CRITICAL: Unknown resource Cell (3, 15) |<lux.game_map.Resource object at 0x0000015BBE3CEEE0> |Road: 0 |
[2021-09-23 20:07:52,385] CRITICAL: Unknown resource Cell (4, 0) |<lux.game_map.Resource object at 0x0000015BBE3CEEB0> |Road: 0 |
[2021-09-23 20:07:52,385] CRITICAL: Unknown resource Cell (4, 2) |<lux.game_map.Resource object at 0x0000015BBE3CEFA0> |Road: 0 |
[2021-09-23 20:07:52,385] CRITICAL: Unknown resource Cell (4, 13) |<lux.game_map.Resource object at 0x0000015BBE3CB160> |Road: 0 |
[2021-09-23 20:07:52,385] CRITICAL: Unknown resource Cell (4, 15) |<lux.game_map.Resource object at 0x0000015BBE3CB0D0> |Road: 0 |
[2021-09-23 20:07:52,385] CRITICAL: Unknown resource Cell (9, 2) |<lux.game_map.Resource object at 0x0000015BBE3CB220> |Road: 0 |
[2021-09-23 20:07:52,385] CRITICAL: Unknown resource Cell (9, 13) |<lux.game_map.Resource object at 0x0000015BBE3CB310> |Road: 0 |
[2021-09-23 20:07:52,385] CRITICAL: Unknown resource Cell (10, 0) |<lux.game_map.Resource object at 0x0000015BBE3CB460> |Road: 0 |
[2021-09-23 20:07:52,385] CRITICAL: Unknown resource Cell (10, 1) |<lux.game_map.Resource object at 0x0000015BBE3CB3D0> |Road: 0 |
[2021-09-23 20:07:52,385] CRITICAL: Unknown resource Cell (10, 14) |<lux.game_map.Resource object at 0x0000015BBE3CB6A0> |Road: 0 |
[2021-09-23 20:07:52,385] CRITICAL: Unknown resource Cell (10, 15) |<lux.game_map.Resource object at 0x0000015BBE3CB610> |Road: 0 |
[2021-09-23 20:07:52,413] CRITICAL: Unknown resource Cell (3, 0) |<lux.game_map.Resource object at 0x0000015BBE3BC700> |Road: 0 |
[2021-09-23 20:07:52,413] CRITICAL: Unknown resource Cell (3, 1) |<lux.game_map.Resource object at 0x0000015BBE3BC6D0> |Road: 0 |
[2021-09-23 20:07:52,413] CRITICAL: Unknown resource Cell (3, 14) |<lux.game_map.Resource object at 0x0000015BBE3BC760> |Road: 0 |
[2021-09-23 20:07:52,413] CRITICAL: Unknown resource Cell (3, 15) |<lux.game_map.Resource object at 0x0000015BBE3BC850> |Road: 0 |
[2021-09-23 20:07:52,413] CRITICAL: Unknown resource Cell (4, 0) |<lux.game_map.Resource object at 0x0000015BBE3BC820> |Road: 0 |
[2021-09-23 20:07:52,413] CRITICAL: Unknown resource Cell (4, 2) |<lux.game_map.Resource object at 0x0000015BBE3BC910> |Road: 0 |
[2021-09-23 20:07:52,413] CRITICAL: Unknown resource Cell (4, 13) |<lux.game_map.Resource object at 0x0000015BBE3BC9A0> |Road: 0 |
[2021-09-23 20:07:52,413] CRITICAL: Unknown resource Cell (4, 15) |<lux.game_map.Resource object at 0x0000015BBE3BCA90> |Road: 0 |
[2021-09-23 20:07:52,413] CRITICAL: Unknown resource Cell (9, 2) |<lux.game_map.Resource object at 0x0000015BBE3BCA60> |Road: 0 |
[2021-09-23 20:07:52,413] CRITICAL: Unknown resource Cell (9, 13) |<lux.game_map.Resource object at 0x0000015BBE3BCCD0> |Road: 0 |
[2021-09-23 20:07:52,413] CRITICAL: Unknown resource Cell (10, 0) |<lux.game_map.Resource object at 0x0000015BBE3BCCA0> |Road: 0 |
[2021-09-23 20:07:52,414] CRITICAL: Unknown resource Cell (10, 1) |<lux.game_map.Resource object at 0x0000015BBE3BCD90> |Road: 0 |
[2021-09-23 20:07:52,414] CRITICAL: Unknown resource Cell (10, 14) |<lux.game_map.Resource object at 0x0000015BBE3BCEE0> |Road: 0 |
[2021-09-23 20:07:52,414] CRITICAL: Unknown resource Cell (10, 15) |<lux.game_map.Resource object at 0x0000015BBE3BCFA0> |Road: 0 |
[2021-09-23 20:07:52,504] CRITICAL: Unknown resource Cell (3, 0) |<lux.game_map.Resource object at 0x0000015BBE3CBE20> |Road: 0 |
[2021-09-23 20:07:52,504] CRITICAL: Unknown resource Cell (3, 1) |<lux.game_map.Resource object at 0x0000015BBE3CBD90> |Road: 0 |
[2021-09-23 20:07:52,504] CRITICAL: Unknown resource Cell (3, 14) |<lux.game_map.Resource object at 0x0000015BBE3CBDC0> |Road: 0 |
[2021-09-23 20:07:52,504] CRITICAL: Unknown resource Cell (3, 15) |<lux.game_map.Resource object at 0x0000015BBE3CBF10> |Road: 0 |
[2021-09-23 20:07:52,504] CRITICAL: Unknown resource Cell (4, 0) |<lux.game_map.Resource object at 0x0000015BBE3CBE80> |Road: 0 |
[2021-09-23 20:07:52,504] CRITICAL: Unknown resource Cell (4, 2) |<lux.game_map.Resource object at 0x0000015BBE3CBF40> |Road: 0 |
[2021-09-23 20:07:52,504] CRITICAL: Unknown resource Cell (4, 13) |<lux.game_map.Resource object at 0x0000015BBE187940> |Road: 0 |
[2021-09-23 20:07:52,504] CRITICAL: Unknown resource Cell (4, 15) |<lux.game_map.Resource object at 0x0000015BBE187670> |Road: 0 |
[2021-09-23 20:07:52,504] CRITICAL: Unknown resource Cell (9, 2) |<lux.game_map.Resource object at 0x0000015BBE187B80> |Road: 0 |
[2021-09-23 20:07:52,504] CRITICAL: Unknown resource Cell (9, 13) |<lux.game_map.Resource object at 0x0000015BBE1875E0> |Road: 0 |
[2021-09-23 20:07:52,504] CRITICAL: Unknown resource Cell (10, 0) |<lux.game_map.Resource object at 0x0000015BBE187DF0> |Road: 0 |
[2021-09-23 20:07:52,504] CRITICAL: Unknown resource Cell (10, 1) |<lux.game_map.Resource object at 0x0000015BBE187C40> |Road: 0 |
[2021-09-23 20:07:52,504] CRITICAL: Unknown resource Cell (10, 14) |<lux.game_map.Resource object at 0x0000015BBE1874F0> |Road: 0 |
[2021-09-23 20:07:52,504] CRITICAL: Unknown resource Cell (10, 15) |<lux.game_map.Resource object at 0x0000015BBE187070> |Road: 0 |
[2021-09-23 20:07:52,593] CRITICAL: Unknown resource Cell (3, 0) |<lux.game_map.Resource object at 0x0000015BBE3BF2B0> |Road: 0 |
[2021-09-23 20:07:52,594] CRITICAL: Unknown resource Cell (3, 1) |<lux.game_map.Resource object at 0x0000015BBE3BF100> |Road: 0 |
[2021-09-23 20:07:52,594] CRITICAL: Unknown resource Cell (3, 14) |<lux.game_map.Resource object at 0x0000015BBE3BF190> |Road: 0 |
[2021-09-23 20:07:52,594] CRITICAL: Unknown resource Cell (3, 15) |<lux.game_map.Resource object at 0x0000015BBE3BFF70> |Road: 0 |
[2021-09-23 20:07:52,594] CRITICAL: Unknown resource Cell (4, 0) |<lux.game_map.Resource object at 0x0000015BBE3BF130> |Road: 0 |
[2021-09-23 20:07:52,594] CRITICAL: Unknown resource Cell (4, 2) |<lux.game_map.Resource object at 0x0000015BBE3BFCD0> |Road: 0 |
[2021-09-23 20:07:52,594] CRITICAL: Unknown resource Cell (4, 13) |<lux.game_map.Resource object at 0x0000015BBE3BFFD0> |Road: 0 |
[2021-09-23 20:07:52,594] CRITICAL: Unknown resource Cell (4, 15) |<lux.game_map.Resource object at 0x0000015BBE3BF8E0> |Road: 0 |
[2021-09-23 20:07:52,594] CRITICAL: Unknown resource Cell (9, 2) |<lux.game_map.Resource object at 0x0000015BBE3BF070> |Road: 0 |
[2021-09-23 20:07:52,594] CRITICAL: Unknown resource Cell (9, 13) |<lux.game_map.Resource object at 0x0000015BBE3BFD60> |Road: 0 |
[2021-09-23 20:07:52,594] CRITICAL: Unknown resource Cell (10, 0) |<lux.game_map.Resource object at 0x0000015BBE3BFAC0> |Road: 0 |
[2021-09-23 20:07:52,594] CRITICAL: Unknown resource Cell (10, 1) |<lux.game_map.Resource object at 0x0000015BBE3BF730> |Road: 0 |
[2021-09-23 20:07:52,594] CRITICAL: Unknown resource Cell (10, 14) |<lux.game_map.Resource object at 0x0000015BBE18EDC0> |Road: 0 |
[2021-09-23 20:07:52,594] CRITICAL: Unknown resource Cell (10, 15) |<lux.game_map.Resource object at 0x0000015BBE18EBE0> |Road: 0 |
[2021-09-23 20:07:52,647] CRITICAL: Unknown resource Cell (3, 0) |<lux.game_map.Resource object at 0x0000015BBE187250> |Road: 0 |
[2021-09-23 20:07:52,647] CRITICAL: Unknown resource Cell (3, 1) |<lux.game_map.Resource object at 0x0000015BBE187F70> |Road: 0 |
[2021-09-23 20:07:52,647] CRITICAL: Unknown resource Cell (3, 14) |<lux.game_map.Resource object at 0x0000015BBE1876D0> |Road: 0 |
[2021-09-23 20:07:52,647] CRITICAL: Unknown resource Cell (3, 15) |<lux.game_map.Resource object at 0x0000015BBE187E50> |Road: 0 |
[2021-09-23 20:07:52,647] CRITICAL: Unknown resource Cell (4, 0) |<lux.game_map.Resource object at 0x0000015BBE3C9130> |Road: 0 |
[2021-09-23 20:07:52,647] CRITICAL: Unknown resource Cell (4, 2) |<lux.game_map.Resource object at 0x0000015BBE3C90A0> |Road: 0 |
[2021-09-23 20:07:52,647] CRITICAL: Unknown resource Cell (4, 13) |<lux.game_map.Resource object at 0x0000015BBE3C92B0> |Road: 0 |
[2021-09-23 20:07:52,647] CRITICAL: Unknown resource Cell (4, 15) |<lux.game_map.Resource object at 0x0000015BBE3C9220> |Road: 0 |
[2021-09-23 20:07:52,647] CRITICAL: Unknown resource Cell (9, 2) |<lux.game_map.Resource object at 0x0000015BBE3C9370> |Road: 0 |
[2021-09-23 20:07:52,647] CRITICAL: Unknown resource Cell (9, 13) |<lux.game_map.Resource object at 0x0000015BBE3C9460> |Road: 0 |
[2021-09-23 20:07:52,647] CRITICAL: Unknown resource Cell (10, 0) |<lux.game_map.Resource object at 0x0000015BBE3C95B0> |Road: 0 |
[2021-09-23 20:07:52,647] CRITICAL: Unknown resource Cell (10, 1) |<lux.game_map.Resource object at 0x0000015BBE3C9520> |Road: 0 |
[2021-09-23 20:07:52,647] CRITICAL: Unknown resource Cell (10, 14) |<lux.game_map.Resource object at 0x0000015BBE3C97F0> |Road: 0 |
[2021-09-23 20:07:52,647] CRITICAL: Unknown resource Cell (10, 15) |<lux.game_map.Resource object at 0x0000015BBE3C9760> |Road: 0 |
[2021-09-23 20:07:52,699] CRITICAL: Unknown resource Cell (3, 0) |<lux.game_map.Resource object at 0x0000015BBE3B76A0> |Road: 0 |
[2021-09-23 20:07:52,699] CRITICAL: Unknown resource Cell (3, 1) |<lux.game_map.Resource object at 0x0000015BBE3B7700> |Road: 0 |
[2021-09-23 20:07:52,699] CRITICAL: Unknown resource Cell (3, 14) |<lux.game_map.Resource object at 0x0000015BBE3B77F0> |Road: 0 |
[2021-09-23 20:07:52,699] CRITICAL: Unknown resource Cell (3, 15) |<lux.game_map.Resource object at 0x0000015BBE3B7880> |Road: 0 |
[2021-09-23 20:07:52,699] CRITICAL: Unknown resource Cell (4, 0) |<lux.game_map.Resource object at 0x0000015BBE3B78B0> |Road: 0 |
[2021-09-23 20:07:52,699] CRITICAL: Unknown resource Cell (4, 2) |<lux.game_map.Resource object at 0x0000015BBE3B7940> |Road: 0 |
[2021-09-23 20:07:52,699] CRITICAL: Unknown resource Cell (4, 13) |<lux.game_map.Resource object at 0x0000015BBE3B7A30> |Road: 0 |
[2021-09-23 20:07:52,699] CRITICAL: Unknown resource Cell (4, 15) |<lux.game_map.Resource object at 0x0000015BBE3B7AC0> |Road: 0 |
[2021-09-23 20:07:52,699] CRITICAL: Unknown resource Cell (9, 2) |<lux.game_map.Resource object at 0x0000015BBE3B7AF0> |Road: 0 |
[2021-09-23 20:07:52,699] CRITICAL: Unknown resource Cell (9, 13) |<lux.game_map.Resource object at 0x0000015BBE3B7D00> |Road: 0 |
[2021-09-23 20:07:52,699] CRITICAL: Unknown resource Cell (10, 0) |<lux.game_map.Resource object at 0x0000015BBE3B7D30> |Road: 0 |
[2021-09-23 20:07:52,699] CRITICAL: Unknown resource Cell (10, 1) |<lux.game_map.Resource object at 0x0000015BBE3B7DC0> |Road: 0 |
[2021-09-23 20:07:52,699] CRITICAL: Unknown resource Cell (10, 14) |<lux.game_map.Resource object at 0x0000015BBE3B7F70> |Road: 0 |
[2021-09-23 20:07:52,699] CRITICAL: Unknown resource Cell (10, 15) |<lux.game_map.Resource object at 0x0000015BBE3B7FD0> |Road: 0 |
[2021-09-23 20:07:52,781] CRITICAL: Unknown resource Cell (3, 0) |<lux.game_map.Resource object at 0x0000015BBE3C9F70> |Road: 0 |
[2021-09-23 20:07:52,782] CRITICAL: Unknown resource Cell (3, 1) |<lux.game_map.Resource object at 0x0000015BBE3C9EE0> |Road: 0 |
[2021-09-23 20:07:52,782] CRITICAL: Unknown resource Cell (3, 14) |<lux.game_map.Resource object at 0x0000015BBE17FCD0> |Road: 0 |
[2021-09-23 20:07:52,782] CRITICAL: Unknown resource Cell (3, 15) |<lux.game_map.Resource object at 0x0000015BBE17F940> |Road: 0 |
[2021-09-23 20:07:52,782] CRITICAL: Unknown resource Cell (4, 0) |<lux.game_map.Resource object at 0x0000015BBE17FAC0> |Road: 0 |
[2021-09-23 20:07:52,782] CRITICAL: Unknown resource Cell (4, 2) |<lux.game_map.Resource object at 0x0000015BBE17F9A0> |Road: 0 |
[2021-09-23 20:07:52,782] CRITICAL: Unknown resource Cell (4, 13) |<lux.game_map.Resource object at 0x0000015BBE17FE20> |Road: 0 |
[2021-09-23 20:07:52,782] CRITICAL: Unknown resource Cell (4, 15) |<lux.game_map.Resource object at 0x0000015BBE17FEB0> |Road: 0 |
[2021-09-23 20:07:52,782] CRITICAL: Unknown resource Cell (9, 2) |<lux.game_map.Resource object at 0x0000015BBE17FF40> |Road: 0 |
[2021-09-23 20:07:52,782] CRITICAL: Unknown resource Cell (9, 13) |<lux.game_map.Resource object at 0x0000015BBE17FEE0> |Road: 0 |
[2021-09-23 20:07:52,782] CRITICAL: Unknown resource Cell (10, 0) |<lux.game_map.Resource object at 0x0000015BBE17FF10> |Road: 0 |
[2021-09-23 20:07:52,782] CRITICAL: Unknown resource Cell (10, 1) |<lux.game_map.Resource object at 0x0000015BBE17F8E0> |Road: 0 |
[2021-09-23 20:07:52,782] CRITICAL: Unknown resource Cell (10, 14) |<lux.game_map.Resource object at 0x0000015BBE3B5040> |Road: 0 |
[2021-09-23 20:07:52,782] CRITICAL: Unknown resource Cell (10, 15) |<lux.game_map.Resource object at 0x0000015BBE3C8130> |Road: 0 |
[2021-09-23 20:07:52,878] CRITICAL: Unknown resource Cell (3, 0) |<lux.game_map.Resource object at 0x0000015BBE18FA00> |Road: 0 |
[2021-09-23 20:07:52,878] CRITICAL: Unknown resource Cell (3, 1) |<lux.game_map.Resource object at 0x0000015BBE18F970> |Road: 0 |
[2021-09-23 20:07:52,878] CRITICAL: Unknown resource Cell (3, 14) |<lux.game_map.Resource object at 0x0000015BBE18FFA0> |Road: 0 |
[2021-09-23 20:07:52,878] CRITICAL: Unknown resource Cell (3, 15) |<lux.game_map.Resource object at 0x0000015BBE18F790> |Road: 0 |
[2021-09-23 20:07:52,878] CRITICAL: Unknown resource Cell (4, 0) |<lux.game_map.Resource object at 0x0000015BBE18F760> |Road: 0 |
[2021-09-23 20:07:52,879] CRITICAL: Unknown resource Cell (4, 2) |<lux.game_map.Resource object at 0x0000015BBE18F2E0> |Road: 0 |
[2021-09-23 20:07:52,879] CRITICAL: Unknown resource Cell (4, 13) |<lux.game_map.Resource object at 0x0000015BBE18F910> |Road: 0 |
[2021-09-23 20:07:52,879] CRITICAL: Unknown resource Cell (4, 15) |<lux.game_map.Resource object at 0x0000015BBE18F820> |Road: 0 |
[2021-09-23 20:07:52,879] CRITICAL: Unknown resource Cell (9, 2) |<lux.game_map.Resource object at 0x0000015BBE18F400> |Road: 0 |
[2021-09-23 20:07:52,879] CRITICAL: Unknown resource Cell (9, 13) |<lux.game_map.Resource object at 0x0000015BBE3BD1C0> |Road: 0 |
[2021-09-23 20:07:52,879] CRITICAL: Unknown resource Cell (10, 0) |<lux.game_map.Resource object at 0x0000015BBE3BD160> |Road: 0 |
[2021-09-23 20:07:52,879] CRITICAL: Unknown resource Cell (10, 1) |<lux.game_map.Resource object at 0x0000015BBE3BD280> |Road: 0 |
[2021-09-23 20:07:52,879] CRITICAL: Unknown resource Cell (10, 14) |<lux.game_map.Resource object at 0x0000015BBE3BD3A0> |Road: 0 |
[2021-09-23 20:07:52,879] CRITICAL: Unknown resource Cell (10, 15) |<lux.game_map.Resource object at 0x0000015BBE3BD4C0> |Road: 0 |
[2021-09-23 20:07:52,913] CRITICAL: Unknown resource Cell (3, 0) |<lux.game_map.Resource object at 0x0000015BBE3C86D0> |Road: 0 |
[2021-09-23 20:07:52,913] CRITICAL: Unknown resource Cell (3, 1) |<lux.game_map.Resource object at 0x0000015BBE3C88B0> |Road: 0 |
[2021-09-23 20:07:52,913] CRITICAL: Unknown resource Cell (3, 14) |<lux.game_map.Resource object at 0x0000015BBE3C8940> |Road: 0 |
[2021-09-23 20:07:52,914] CRITICAL: Unknown resource Cell (3, 15) |<lux.game_map.Resource object at 0x0000015BBE3C8A30> |Road: 0 |
