=== Agent Install Log ===
=== Agent Compile Log ===
=== Agent Error Log ===
[2021-09-23 20:07:51,187] CRITICAL: Unknown resource Cell (3, 0) |<lux.game_map.Resource object at 0x000001D74906E790> |Road: 0 |
[2021-09-23 20:07:51,991] CRITICAL: Unknown resource Cell (9, 2) |<lux.game_map.Resource object at 0x000001D74905FA30> |Road: 0 |
[2021-09-23 20:07:51,991] CRITICAL: Unknown resource Cell (9, 13) |<lux.game_map.Resource object at 0x000001D74905F8E0> |Road: 0 |
[2021-09-23 20:07:51,991] CRITICAL: Unknown resource Cell (10, 0) |<lux.game_map.Resource object at 0x000001D74905F940> |Road: 0 |
[2021-09-23 20:07:51,991] CRITICAL: Unknown resource Cell (10, 1) |<lux.game_map.Resource object at 0x000001D74905FDC0> |Road: 0 |
[2021-09-23 20:07:51,991] CRITICAL: Unknown resource Cell (10, 14) |<lux.game_map.Resource object at 0x000001D7492B80D0> |Road: 0 |
[2021-09-23 20:07:51,991] CRITICAL: Unknown resource Cell (10, 15) |<lux.game_map.Resource object at 0x000001D7492B80A0> |Road: 0 |
[2021-09-23 20:07:52,081] CRITICAL: Unknown resource Cell (3, 0) |<lux.game_map.Resource object at 0x000001D7492B1AF0> |Road: 0 |
[2021-09-23 20:07:52,081] CRITICAL: Unknown resource Cell (3, 1) |<lux.game_map.Resource object at 0x000001D7492B1C40> |Road: 0 |
[2021-09-23 20:07:52,081] CRITICAL: Unknown resource Cell (3, 14) |<lux.game_map.Resource object at 0x000001D7492B1BE0> |Road: 0 |
[2021-09-23 20:07:52,081] CRITICAL: Unknown resource Cell (3, 15) |<lux.game_map.Resource object at 0x000001D7492B1DC0> |Road: 0 |
[2021-09-23 20:07:52,081] CRITICAL: Unknown resource Cell (4, 0) |<lux.game_map.Resource object at 0x000001D7492B1CA0> |Road: 0 |
[2021-09-23 20:07:52,081] CRITICAL: Unknown resource Cell (4, 2) |<lux.game_map.Resource object at 0x000001D7492B1E80> |Road: 0 |
[2021-09-23 20:07:52,081] CRITICAL: Unknown resource Cell (4, 13) |<lux.game_map.Resource object at 0x000001D7492B1E20> |Road: 0 |
[2021-09-23 20:07:52,081] CRITICAL: Unknown resource Cell (4, 15) |<lux.game_map.Resource object at 0x000001D7492B1FA0> |Road: 0 |
[2021-09-23 20:07:52,081] CRITICAL: Unknown resource Cell (9, 2) |<lux.game_map.Resource object at 0x000001D7492B1EE0> |Road: 0 |
[2021-09-23 20:07:52,081] CRITICAL: Unknown resource Cell (9, 13) |<lux.game_map.Resource object at 0x000001D749068A90> |Road: 0 |
[2021-09-23 20:07:52,081] CRITICAL: Unknown resource Cell (10, 0) |<lux.game_map.Resource object at 0x000001D749068610> |Road: 0 |
[2021-09-23 20:07:52,081] CRITICAL: Unknown resource Cell (10, 1) |<lux.game_map.Resource object at 0x000001D7490689A0> |Road: 0 |
[2021-09-23 20:07:52,081] CRITICAL: Unknown resource Cell (10, 14) |<lux.game_map.Resource object at 0x000001D7490687C0> |Road: 0 |
[2021-09-23 20:07:52,081] CRITICAL: Unknown resource Cell (10, 15) |<lux.game_map.Resource object at 0x000001D749068670> |Road: 0 |
[2021-09-23 20:07:52,208] CRITICAL: Unknown resource Cell (3, 0) |<lux.game_map.Resource object at 0x000001D7492B87F0> |Road: 0 |
[2021-09-23 20:07:52,208] CRITICAL: Unknown resource Cell (3, 1) |<lux.game_map.Resource object at 0x000001D7492B88B0> |Road: 0 |
[2021-09-23 20:07:52,208] CRITICAL: Unknown resource Cell (3, 14) |<lux.game_map.Resource object at 0x000001D7492B8A30> |Road: 0 |
[2021-09-23 20:07:52,208] CRITICAL: Unknown resource Cell (3, 15) |<lux.game_map.Resource object at 0x000001D7492B89D0> |Road: 0 |
[2021-09-23 20:07:52,208] CRITICAL: Unknown resource Cell (4, 0) |<lux.game_map.Resource object at 0x000001D7492B8AF0> |Road: 0 |
[2021-09-23 20:07:52,208] CRITICAL: Unknown resource Cell (4, 2) |<lux.game_map.Resource object at 0x000001D7492B8A90> |Road: 0 |
[2021-09-23 20:07:52,208] CRITICAL: Unknown resource Cell (4, 13) |<lux.game_map.Resource object at 0x000001D7492B8C70> |Road: 0 |
[2021-09-23 20:07:52,208] CRITICAL: Unknown resource Cell (4, 15) |<lux.game_map.Resource object at 0x000001D7492B8C10> |Road: 0 |
[2021-09-23 20:07:52,208] CRITICAL: Unknown resource Cell (9, 2) |<lux.game_map.Resource object at 0x000001D7492B8D30> |Road: 0 |
[2021-09-23 20:07:52,208] CRITICAL: Unknown resource Cell (9, 13) |<lux.game_map.Resource object at 0x000001D7492B8E50> |Road: 0 |
[2021-09-23 20:07:52,208] CRITICAL: Unknown resource Cell (10, 0) |<lux.game_map.Resource object at 0x000001D7492B8F70> |Road: 0 |
[2021-09-23 20:07:52,208] CRITICAL: Unknown resource Cell (10, 1) |<lux.game_map.Resource object at 0x000001D7492B8F10> |Road: 0 |
[2021-09-23 20:07:52,208] CRITICAL: Unknown resource Cell (10, 14) |<lux.game_map.Resource object at 0x000001D749077CA0> |Road: 0 |
[2021-09-23 20:07:52,208] CRITICAL: Unknown resource Cell (10, 15) |<lux.game_map.Resource object at 0x000001D749077E50> |Road: 0 |
[2021-09-23 20:07:52,268] CRITICAL: Unknown resource Cell (3, 0) |<lux.game_map.Resource object at 0x000001D7490681C0> |Road: 0 |
[2021-09-23 20:07:52,268] CRITICAL: Unknown resource Cell (3, 1) |<lux.game_map.Resource object at 0x000001D749068CA0> |Road: 0 |
[2021-09-23 20:07:52,268] CRITICAL: Unknown resource Cell (3, 14) |<lux.game_map.Resource object at 0x000001D7490686A0> |Road: 0 |
[2021-09-23 20:07:52,268] CRITICAL: Unknown resource Cell (3, 15) |<lux.game_map.Resource object at 0x000001D749068340> |Road: 0 |
[2021-09-23 20:07:52,268] CRITICAL: Unknown resource Cell (4, 0) |<lux.game_map.Resource object at 0x000001D7490680A0> |Road: 0 |
[2021-09-23 20:07:52,268] CRITICAL: Unknown resource Cell (4, 2) |<lux.game_map.Resource object at 0x000001D749068FD0> |Road: 0 |
[2021-09-23 20:07:52,268] CRITICAL: Unknown resource Cell (4, 13) |<lux.game_map.Resource object at 0x000001D749068580> |Road: 0 |
[2021-09-23 20:07:52,268] CRITICAL: Unknown resource Cell (4, 15) |<lux.game_map.Resource object at 0x000001D7490685E0> |Road: 0 |
[2021-09-23 20:07:52,268] CRITICAL: Unknown resource Cell (9, 2) |<lux.game_map.Resource object at 0x000001D7492AE100> |Road: 0 |
[2021-09-23 20:07:52,268] CRITICAL: Unknown resource Cell (9, 13) |<lux.game_map.Resource object at 0x000001D7492AE2E0> |Road: 0 |
[2021-09-23 20:07:52,268] CRITICAL: Unknown resource Cell (10, 0) |<lux.game_map.Resource object at 0x000001D7492AE250> |Road: 0 |
[2021-09-23 20:07:52,268] CRITICAL: Unknown resource Cell (10, 1) |<lux.game_map.Resource object at 0x000001D7492AE3A0> |Road: 0 |
[2021-09-23 20:07:52,268] CRITICAL: Unknown resource Cell (10, 14) |<lux.game_map.Resource object at 0x000001D7492AE490> |Road: 0 |
[2021-09-23 20:07:52,268] CRITICAL: Unknown resource Cell (10, 15) |<lux.game_map.Resource object at 0x000001D7492AE5E0> |Road: 0 |
[2021-09-23 20:07:52,353] CRITICAL: Unknown resource Cell (3, 0) |<lux.game_map.Resource object at 0x000001D749077190> |Road: 0 |
[2021-09-23 20:07:52,353] CRITICAL: Unknown resource Cell (3, 1) |<lux.game_map.Resource object at 0x000001D749077220> |Road: 0 |
[2021-09-23 20:07:52,353] CRITICAL: Unknown resource Cell (3, 14) |<lux.game_map.Resource object at 0x000001D749077340> |Road: 0 |
[2021-09-23 20:07:52,353] CRITICAL: Unknown resource Cell (3, 15) |<lux.game_map.Resource object at 0x000001D749077550> |Road: 0 |
[2021-09-23 20:07:52,353] CRITICAL: Unknown resource Cell (4, 0) |<lux.game_map.Resource object at 0x000001D749077520> |Road: 0 |
[2021-09-23 20:07:52,353] CRITICAL: Unknown resource Cell (4, 2) |<lux.game_map.Resource object at 0x000001D749077F10> |Road: 0 |
[2021-09-23 20:07:52,354] CRITICAL: Unknown resource Cell (4, 13) |<lux.game_map.Resource object at 0x000001D749077A90> |Road: 0 |
[2021-09-23 20:07:52,354] CRITICAL: Unknown resource Cell (4, 15) |<lux.game_map.Resource object at 0x000001D749077C70> |Road: 0 |
[2021-09-23 20:07:52,354] CRITICAL: Unknown resource Cell (9, 2) |<lux.game_map.Resource object at 0x000001D749077A30> |Road: 0 |
[2021-09-23 20:07:52,354] CRITICAL: Unknown resource Cell (9, 13) |<lux.game_map.Resource object at 0x000001D749077BE0> |Road: 0 |
[2021-09-23 20:07:52,354] CRITICAL: Unknown resource Cell (10, 0) |<lux.game_map.Resource object at 0x000001D749077AC0> |Road: 0 |
[2021-09-23 20:07:52,354] CRITICAL: Unknown resource Cell (10, 1) |<lux.game_map.Resource object at 0x000001D749077D30> |Road: 0 |
[2021-09-23 20:07:52,354] CRITICAL: Unknown resource Cell (10, 14) |<lux.game_map.Resource object at 0x000001D749075550> |Road: 0 |
[2021-09-23 20:07:52,354] CRITICAL: Unknown resource Cell (10, 15) |<lux.game_map.Resource object at 0x000001D7490758E0> |Road: 0 |
[2021-09-23 20:07:52,385] CRITICAL: Unknown resource Cell (3, 0) |<lux.game_map.Resource object at 0x000001D7492AEC10> |Road: 0 |
[2021-09-23 20:07:52,385] CRITICAL: Unknown resource Cell (3, 1) |<lux.game_map.Resource object at 0x000001D7492AED60> |Road: 0 |
[2021-09-23 20:07:52,385] CRITICAL: Unknown resource Cell (3, 14) |<lux.game_map.Resource object at 0x000001D7492AEDF0> |Road: 0 |
[2021-09-23 20:07:52,385] CRITICAL: Unknown resource Cell (3, 15) |<lux.game_map.Resource object at 0x000001D7492AEEE0> |Road: 0 |
[2021-09-23 20:07:52,385] CRITICAL: Unknown resource Cell (4, 0) |<lux.game_map.Resource object at 0x000001D7492AEEB0> |Road: 0 |
[2021-09-23 20:07:52,385] CRITICAL: Unknown resource Cell (4, 2) |<lux.game_map.Resource object at 0x000001D7492AEFA0> |Road: 0 |
[2021-09-23 20:07:52,385] CRITICAL: Unknown resource Cell (4, 13) |<lux.game_map.Resource object at 0x000001D7492AB160> |Road: 0 |
[2021-09-23 20:07:52,385] CRITICAL: Unknown resource Cell (4, 15) |<lux.game_map.Resource object at 0x000001D7492AB0D0> |Road: 0 |
[2021-09-23 20:07:52,385] CRITICAL: Unknown resource Cell (9, 2) |<lux.game_map.Resource object at 0x000001D7492AB220> |Road: 0 |
[2021-09-23 20:07:52,385] CRITICAL: Unknown resource Cell (9, 13) |<lux.game_map.Resource object at 0x000001D7492AB310> |Road: 0 |
[2021-09-23 20:07:52,385] CRITICAL: Unknown resource Cell (10, 0) |<lux.game_map.Resource object at 0x000001D7492AB460> |Road: 0 |
[2021-09-23 20:07:52,385] CRITICAL: Unknown resource Cell (10, 1) |<lux.game_map.Resource object at 0x000001D7492AB3D0> |Road: 0 |
[2021-09-23 20:07:52,385] CRITICAL: Unknown resource Cell (10, 14) |<lux.game_map.Resource object at 0x000001D7492AB6A0> |Road: 0 |
[2021-09-23 20:07:52,385] CRITICAL: Unknown resource Cell (10, 15) |<lux.game_map.Resource object at 0x000001D7492AB610> |Road: 0 |
[2021-09-23 20:07:52,413] CRITICAL: Unknown resource Cell (3, 0) |<lux.game_map.Resource object at 0x000001D74929C700> |Road: 0 |
[2021-09-23 20:07:52,413] CRITICAL: Unknown resource Cell (3, 1) |<lux.game_map.Resource object at 0x000001D74929C6D0> |Road: 0 |
[2021-09-23 20:07:52,413] CRITICAL: Unknown resource Cell (3, 14) |<lux.game_map.Resource object at 0x000001D74929C760> |Road: 0 |
[2021-09-23 20:07:52,413] CRITICAL: Unknown resource Cell (3, 15) |<lux.game_map.Resource object at 0x000001D74929C850> |Road: 0 |
[2021-09-23 20:07:52,413] CRITICAL: Unknown resource Cell (4, 0) |<lux.game_map.Resource object at 0x000001D74929C820> |Road: 0 |
[2021-09-23 20:07:52,413] CRITICAL: Unknown resource Cell (4, 2) |<lux.game_map.Resource object at 0x000001D74929C910> |Road: 0 |
[2021-09-23 20:07:52,413] CRITICAL: Unknown resource Cell (4, 13) |<lux.game_map.Resource object at 0x000001D74929C9A0> |Road: 0 |
[2021-09-23 20:07:52,413] CRITICAL: Unknown resource Cell (4, 15) |<lux.game_map.Resource object at 0x000001D74929CA90> |Road: 0 |
[2021-09-23 20:07:52,414] CRITICAL: Unknown resource Cell (9, 2) |<lux.game_map.Resource object at 0x000001D74929CA60> |Road: 0 |
[2021-09-23 20:07:52,414] CRITICAL: Unknown resource Cell (9, 13) |<lux.game_map.Resource object at 0x000001D74929CCD0> |Road: 0 |
[2021-09-23 20:07:52,414] CRITICAL: Unknown resource Cell (10, 0) |<lux.game_map.Resource object at 0x000001D74929CCA0> |Road: 0 |
[2021-09-23 20:07:52,414] CRITICAL: Unknown resource Cell (10, 1) |<lux.game_map.Resource object at 0x000001D74929CD90> |Road: 0 |
[2021-09-23 20:07:52,414] CRITICAL: Unknown resource Cell (10, 14) |<lux.game_map.Resource object at 0x000001D74929CEE0> |Road: 0 |
[2021-09-23 20:07:52,414] CRITICAL: Unknown resource Cell (10, 15) |<lux.game_map.Resource object at 0x000001D74929CFA0> |Road: 0 |
[2021-09-23 20:07:52,504] CRITICAL: Unknown resource Cell (3, 0) |<lux.game_map.Resource object at 0x000001D7492ABE20> |Road: 0 |
[2021-09-23 20:07:52,504] CRITICAL: Unknown resource Cell (3, 1) |<lux.game_map.Resource object at 0x000001D7492ABD90> |Road: 0 |
[2021-09-23 20:07:52,504] CRITICAL: Unknown resource Cell (3, 14) |<lux.game_map.Resource object at 0x000001D7492ABDC0> |Road: 0 |
[2021-09-23 20:07:52,504] CRITICAL: Unknown resource Cell (3, 15) |<lux.game_map.Resource object at 0x000001D7492ABF10> |Road: 0 |
[2021-09-23 20:07:52,504] CRITICAL: Unknown resource Cell (4, 0) |<lux.game_map.Resource object at 0x000001D7492ABE80> |Road: 0 |
[2021-09-23 20:07:52,504] CRITICAL: Unknown resource Cell (4, 2) |<lux.game_map.Resource object at 0x000001D7492ABF40> |Road: 0 |
[2021-09-23 20:07:52,504] CRITICAL: Unknown resource Cell (4, 13) |<lux.game_map.Resource object at 0x000001D749067940> |Road: 0 |
[2021-09-23 20:07:52,504] CRITICAL: Unknown resource Cell (4, 15) |<lux.game_map.Resource object at 0x000001D749067670> |Road: 0 |
[2021-09-23 20:07:52,504] CRITICAL: Unknown resource Cell (9, 2) |<lux.game_map.Resource object at 0x000001D749067B80> |Road: 0 |
[2021-09-23 20:07:52,505] CRITICAL: Unknown resource Cell (9, 13) |<lux.game_map.Resource object at 0x000001D7490675E0> |Road: 0 |
[2021-09-23 20:07:52,505] CRITICAL: Unknown resource Cell (10, 0) |<lux.game_map.Resource object at 0x000001D749067DF0> |Road: 0 |
[2021-09-23 20:07:52,505] CRITICAL: Unknown resource Cell (10, 1) |<lux.game_map.Resource object at 0x000001D749067C40> |Road: 0 |
[2021-09-23 20:07:52,505] CRITICAL: Unknown resource Cell (10, 14) |<lux.game_map.Resource object at 0x000001D7490674F0> |Road: 0 |
[2021-09-23 20:07:52,505] CRITICAL: Unknown resource Cell (10, 15) |<lux.game_map.Resource object at 0x000001D749067070> |Road: 0 |
[2021-09-23 20:07:52,594] CRITICAL: Unknown resource Cell (3, 0) |<lux.game_map.Resource object at 0x000001D74929F2B0> |Road: 0 |
[2021-09-23 20:07:52,594] CRITICAL: Unknown resource Cell (3, 1) |<lux.game_map.Resource object at 0x000001D74929F100> |Road: 0 |
[2021-09-23 20:07:52,594] CRITICAL: Unknown resource Cell (3, 14) |<lux.game_map.Resource object at 0x000001D74929F190> |Road: 0 |
[2021-09-23 20:07:52,594] CRITICAL: Unknown resource Cell (3, 15) |<lux.game_map.Resource object at 0x000001D74929FF70> |Road: 0 |
[2021-09-23 20:07:52,594] CRITICAL: Unknown resource Cell (4, 0) |<lux.game_map.Resource object at 0x000001D74929F130> |Road: 0 |
[2021-09-23 20:07:52,594] CRITICAL: Unknown resource Cell (4, 2) |<lux.game_map.Resource object at 0x000001D74929FCD0> |Road: 0 |
[2021-09-23 20:07:52,594] CRITICAL: Unknown resource Cell (4, 13) |<lux.game_map.Resource object at 0x000001D74929FFD0> |Road: 0 |
[2021-09-23 20:07:52,594] CRITICAL: Unknown resource Cell (4, 15) |<lux.game_map.Resource object at 0x000001D74929F8E0> |Road: 0 |
[2021-09-23 20:07:52,594] CRITICAL: Unknown resource Cell (9, 2) |<lux.game_map.Resource object at 0x000001D74929F070> |Road: 0 |
[2021-09-23 20:07:52,594] CRITICAL: Unknown resource Cell (9, 13) |<lux.game_map.Resource object at 0x000001D74929FD60> |Road: 0 |
[2021-09-23 20:07:52,594] CRITICAL: Unknown resource Cell (10, 0) |<lux.game_map.Resource object at 0x000001D74929FAC0> |Road: 0 |
[2021-09-23 20:07:52,594] CRITICAL: Unknown resource Cell (10, 1) |<lux.game_map.Resource object at 0x000001D74929F730> |Road: 0 |
[2021-09-23 20:07:52,594] CRITICAL: Unknown resource Cell (10, 14) |<lux.game_map.Resource object at 0x000001D74906EDC0> |Road: 0 |
[2021-09-23 20:07:52,594] CRITICAL: Unknown resource Cell (10, 15) |<lux.game_map.Resource object at 0x000001D74906EBE0> |Road: 0 |
[2021-09-23 20:07:52,647] CRITICAL: Unknown resource Cell (3, 0) |<lux.game_map.Resource object at 0x000001D749067250> |Road: 0 |
[2021-09-23 20:07:52,647] CRITICAL: Unknown resource Cell (3, 1) |<lux.game_map.Resource object at 0x000001D749067F70> |Road: 0 |
[2021-09-23 20:07:52,647] CRITICAL: Unknown resource Cell (3, 14) |<lux.game_map.Resource object at 0x000001D7490676D0> |Road: 0 |
[2021-09-23 20:07:52,647] CRITICAL: Unknown resource Cell (3, 15) |<lux.game_map.Resource object at 0x000001D749067E50> |Road: 0 |
[2021-09-23 20:07:52,647] CRITICAL: Unknown resource Cell (4, 0) |<lux.game_map.Resource object at 0x000001D7492A9130> |Road: 0 |
[2021-09-23 20:07:52,647] CRITICAL: Unknown resource Cell (4, 2) |<lux.game_map.Resource object at 0x000001D7492A90A0> |Road: 0 |
[2021-09-23 20:07:52,647] CRITICAL: Unknown resource Cell (4, 13) |<lux.game_map.Resource object at 0x000001D7492A92B0> |Road: 0 |
[2021-09-23 20:07:52,647] CRITICAL: Unknown resource Cell (4, 15) |<lux.game_map.Resource object at 0x000001D7492A9220> |Road: 0 |
[2021-09-23 20:07:52,647] CRITICAL: Unknown resource Cell (9, 2) |<lux.game_map.Resource object at 0x000001D7492A9370> |Road: 0 |
[2021-09-23 20:07:52,647] CRITICAL: Unknown resource Cell (9, 13) |<lux.game_map.Resource object at 0x000001D7492A9460> |Road: 0 |
[2021-09-23 20:07:52,647] CRITICAL: Unknown resource Cell (10, 0) |<lux.game_map.Resource object at 0x000001D7492A95B0> |Road: 0 |
[2021-09-23 20:07:52,647] CRITICAL: Unknown resource Cell (10, 1) |<lux.game_map.Resource object at 0x000001D7492A9520> |Road: 0 |
[2021-09-23 20:07:52,647] CRITICAL: Unknown resource Cell (10, 14) |<lux.game_map.Resource object at 0x000001D7492A97F0> |Road: 0 |
[2021-09-23 20:07:52,647] CRITICAL: Unknown resource Cell (10, 15) |<lux.game_map.Resource object at 0x000001D7492A9760> |Road: 0 |
[2021-09-23 20:07:52,699] CRITICAL: Unknown resource Cell (3, 0) |<lux.game_map.Resource object at 0x000001D7492976A0> |Road: 0 |
[2021-09-23 20:07:52,699] CRITICAL: Unknown resource Cell (3, 1) |<lux.game_map.Resource object at 0x000001D7492976D0> |Road: 0 |
[2021-09-23 20:07:52,699] CRITICAL: Unknown resource Cell (3, 14) |<lux.game_map.Resource object at 0x000001D7492977C0> |Road: 0 |
[2021-09-23 20:07:52,699] CRITICAL: Unknown resource Cell (3, 15) |<lux.game_map.Resource object at 0x000001D749297850> |Road: 0 |
[2021-09-23 20:07:52,699] CRITICAL: Unknown resource Cell (4, 0) |<lux.game_map.Resource object at 0x000001D749297880> |Road: 0 |
[2021-09-23 20:07:52,699] CRITICAL: Unknown resource Cell (4, 2) |<lux.game_map.Resource object at 0x000001D749297910> |Road: 0 |
[2021-09-23 20:07:52,699] CRITICAL: Unknown resource Cell (4, 13) |<lux.game_map.Resource object at 0x000001D749297A00> |Road: 0 |
[2021-09-23 20:07:52,699] CRITICAL: Unknown resource Cell (4, 15) |<lux.game_map.Resource object at 0x000001D749297A90> |Road: 0 |
[2021-09-23 20:07:52,699] CRITICAL: Unknown resource Cell (9, 2) |<lux.game_map.Resource object at 0x000001D749297AC0> |Road: 0 |
[2021-09-23 20:07:52,699] CRITICAL: Unknown resource Cell (9, 13) |<lux.game_map.Resource object at 0x000001D749297CD0> |Road: 0 |
[2021-09-23 20:07:52,699] CRITICAL: Unknown resource Cell (10, 0) |<lux.game_map.Resource object at 0x000001D749297D00> |Road: 0 |
[2021-09-23 20:07:52,699] CRITICAL: Unknown resource Cell (10, 1) |<lux.game_map.Resource object at 0x000001D749297D90> |Road: 0 |
[2021-09-23 20:07:52,699] CRITICAL: Unknown resource Cell (10, 14) |<lux.game_map.Resource object at 0x000001D749297F40> |Road: 0 |
[2021-09-23 20:07:52,699] CRITICAL: Unknown resource Cell (10, 15) |<lux.game_map.Resource object at 0x000001D749297FD0> |Road: 0 |
[2021-09-23 20:07:52,782] CRITICAL: Unknown resource Cell (3, 0) |<lux.game_map.Resource object at 0x000001D7492A9F70> |Road: 0 |
[2021-09-23 20:07:52,782] CRITICAL: Unknown resource Cell (3, 1) |<lux.game_map.Resource object at 0x000001D7492A9EE0> |Road: 0 |
[2021-09-23 20:07:52,782] CRITICAL: Unknown resource Cell (3, 14) |<lux.game_map.Resource object at 0x000001D74905FCD0> |Road: 0 |
[2021-09-23 20:07:52,782] CRITICAL: Unknown resource Cell (3, 15) |<lux.game_map.Resource object at 0x000001D74905F940> |Road: 0 |
[2021-09-23 20:07:52,782] CRITICAL: Unknown resource Cell (4, 0) |<lux.game_map.Resource object at 0x000001D74905FAC0> |Road: 0 |
[2021-09-23 20:07:52,782] CRITICAL: Unknown resource Cell (4, 2) |<lux.game_map.Resource object at 0x000001D74905F9A0> |Road: 0 |
[2021-09-23 20:07:52,782] CRITICAL: Unknown resource Cell (4, 13) |<lux.game_map.Resource object at 0x000001D74905FE20> |Road: 0 |
[2021-09-23 20:07:52,782] CRITICAL: Unknown resource Cell (4, 15) |<lux.game_map.Resource object at 0x000001D74905FEB0> |Road: 0 |
[2021-09-23 20:07:52,782] CRITICAL: Unknown resource Cell (9, 2) |<lux.game_map.Resource object at 0x000001D74905FF40> |Road: 0 |
[2021-09-23 20:07:52,782] CRITICAL: Unknown resource Cell (9, 13) |<lux.game_map.Resource object at 0x000001D74905FEE0> |Road: 0 |
[2021-09-23 20:07:52,782] CRITICAL: Unknown resource Cell (10, 0) |<lux.game_map.Resource object at 0x000001D74905FF10> |Road: 0 |
[2021-09-23 20:07:52,782] CRITICAL: Unknown resource Cell (10, 1) |<lux.game_map.Resource object at 0x000001D74905F8E0> |Road: 0 |
[2021-09-23 20:07:52,782] CRITICAL: Unknown resource Cell (10, 14) |<lux.game_map.Resource object at 0x000001D749296040> |Road: 0 |
[2021-09-23 20:07:52,782] CRITICAL: Unknown resource Cell (10, 15) |<lux.game_map.Resource object at 0x000001D7492A8130> |Road: 0 |
[2021-09-23 20:07:52,878] CRITICAL: Unknown resource Cell (3, 0) |<lux.game_map.Resource object at 0x000001D74906FA00> |Road: 0 |
[2021-09-23 20:07:52,878] CRITICAL: Unknown resource Cell (3, 1) |<lux.game_map.Resource object at 0x000001D74906F970> |Road: 0 |
[2021-09-23 20:07:52,878] CRITICAL: Unknown resource Cell (3, 14) |<lux.game_map.Resource object at 0x000001D74906FFA0> |Road: 0 |
[2021-09-23 20:07:52,878] CRITICAL: Unknown resource Cell (3, 15) |<lux.game_map.Resource object at 0x000001D74906F790> |Road: 0 |
[2021-09-23 20:07:52,879] CRITICAL: Unknown resource Cell (4, 0) |<lux.game_map.Resource object at 0x000001D74906F760> |Road: 0 |
[2021-09-23 20:07:52,879] CRITICAL: Unknown resource Cell (4, 2) |<lux.game_map.Resource object at 0x000001D74906F2E0> |Road: 0 |
[2021-09-23 20:07:52,879] CRITICAL: Unknown resource Cell (4, 13) |<lux.game_map.Resource object at 0x000001D74906F910> |Road: 0 |
[2021-09-23 20:07:52,879] CRITICAL: Unknown resource Cell (4, 15) |<lux.game_map.Resource object at 0x000001D74906F820> |Road: 0 |
[2021-09-23 20:07:52,879] CRITICAL: Unknown resource Cell (9, 2) |<lux.game_map.Resource object at 0x000001D74906F400> |Road: 0 |
[2021-09-23 20:07:52,879] CRITICAL: Unknown resource Cell (9, 13) |<lux.game_map.Resource object at 0x000001D74929D1C0> |Road: 0 |
[2021-09-23 20:07:52,879] CRITICAL: Unknown resource Cell (10, 0) |<lux.game_map.Resource object at 0x000001D74929D160> |Road: 0 |
[2021-09-23 20:07:52,879] CRITICAL: Unknown resource Cell (10, 1) |<lux.game_map.Resource object at 0x000001D74929D280> |Road: 0 |
[2021-09-23 20:07:52,879] CRITICAL: Unknown resource Cell (10, 14) |<lux.game_map.Resource object at 0x000001D74929D3A0> |Road: 0 |
[2021-09-23 20:07:52,879] CRITICAL: Unknown resource Cell (10, 15) |<lux.game_map.Resource object at 0x000001D74929D4C0> |Road: 0 |
[2021-09-23 20:07:52,913] CRITICAL: Unknown resource Cell (3, 0) |<lux.game_map.Resource object at 0x000001D7492A86D0> |Road: 0 |
[2021-09-23 20:07:52,913] CRITICAL: Unknown resource Cell (3, 1) |<lux.game_map.Resource object at 0x000001D7492A88B0> |Road: 0 |
[2021-09-23 20:07:52,914] CRITICAL: Unknown resource Cell (3, 14) |<lux.game_map.Resource object at 0x000001D7492A8940> |Road: 0 |
[2021-09-23 20:07:52,914] CRITICAL: Unknown resource Cell (3, 15) |<lux.game_map.Resource object at 0x000001D7492A8A30> |Road: 0 |
[2021-09-23 20:07:52,914] CRITICAL: Unknown resource Cell (4, 0) |<lux.game_map.Resource object at 0x000001D7492A8A00> |Road: 0 |
[2021-09-23 20:07:52,914] CRITICAL: Unknown resource Cell (4, 2) |<lux.game_map.Resource object at 0x000001D7492A8AF0> |Road: 0 |
[2021-09-23 20:07:52,914] CRITICAL: Unknown resource Cell (4, 13) |<lux.game_map.Resource object at 0x000001D7492A8B80> |Road: 0 |
[2021-09-23 20:07:52,914] CRITICAL: Unknown resource Cell (4, 15) |<lux.game_map.Resource object at 0x000001D7492A8C70> |Road: 0 |
[2021-09-23 20:07:52,914] CRITICAL: Unknown resource Cell (9, 2) |<lux.game_map.Resource object at 0x000001D7492A8C40> |Road: 0 |
[2021-09-23 20:07:52,914] CRITICAL: Unknown resource Cell (9, 13) |<lux.game_map.Resource object at 0x000001D7492A8EB0> |Road: 0 |
[2021-09-23 20:07:52,914] CRITICAL: Unknown resource Cell (10, 0) |<lux.game_map.Resource object at 0x000001D7492A8E80> |Road: 0 |
[2021-09-23 20:07:52,914] CRITICAL: Unknown resource Cell (10, 1) |<lux.game_map.Resource object at 0x000001D7492A8F70> |Road: 0 |
[2021-09-23 20:07:52,914] CRITICAL: Unknown resource Cell (10, 14) |<lux.game_map.Resource object at 0x000001D7492B8A60> |Road: 0 |
[2021-09-23 20:07:52,914] CRITICAL: Unknown resource Cell (10, 15) |<lux.game_map.Resource object at 0x000001D7492B8F10> |Road: 0 |
[2021-09-23 20:07:53,004] CRITICAL: Unknown resource Cell (3, 0) |<lux.game_map.Resource object at 0x000001D74929DBB0> |Road: 0 |
